"The Shawshank Redemption","Two imprisoned men bond over a number of years_ finding solace and eventual redemption through acts of common decency.","Frank Darabont","Stephen King_Frank Darabont","Tim Robbins_Morgan Freeman_Bob Gunton"
"The Godfather","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Francis Ford Coppola","Mario Puzo_Francis Ford Coppola_1 more credit","Marlon Brando_Al Pacino_James Caan"
