Actor,Birthdate,Birthplace,Famous-Movies/Series and Character-Played,All-Movies-Series
"Chris Evans","June 13, 1981","Boston, Massachusetts, USA","The Avengers : Steve Rogers / Captain America , Captain America: The First Avenger : Captain America / Steve Rogers , Captain America: Civil War : Steve Rogers / Captain America , Captain America: The Winter Soldier : Steve Rogers / Captain America ","Bermuda Triangle , Little Shop of Horrors , Defending Jacob , Knives Out , Operation Brothers , Avengers: Endgame , Captain Marvel , Avengers: Infinity War , Spider-Man: Homecoming , Gifted , Captain America: Civil War , Ant-Man , Avengers: Age of Ultron , Playing It Cool , Before We Go , Captain America: The Winter Soldier , Thor: The Dark World , Snowpiercer , The Iceman , The Carlton Dance , The Avengers , What's Your Number? , Captain America: Super Soldier , Captain America: The First Avenger , Puncture , Scott Pilgrim vs. the World , The Losers , Push , Robot Chicken , The Loss of a Teardrop Diamond , Street Kings , Terra , The Nanny Diaries , 4: Rise of the Silver Surfer , Sunshine , TMNT , London , Fantastic Four , Fantastic Four , Fierce People , Cellular , The Perfect Score , Skin , The Paper Boy , Eastwick , Not Another Teen Movie , Marilyn Manson: Tainted Love , Boston Public , The Newcomers , The Fugitive , Opposite Sex , Biodiversity: Wild About Life! "
"Robert Downey Jr.","April 4, 1965","Manhattan, New York City, New York, USA","Iron Man : Tony Stark , Sherlock Holmes : Sherlock Holmes , Iron Man Three : Tony Stark , The Avengers : Tony Stark / Iron Man ","Untitled John Brinkley Biopic , Sherlock Holmes 3 , All-Star Weekend , Black Widow , Dolittle , Dolittle - Auditions , Avengers: Endgame , Avengers: Infinity War , Spider-Man: Homecoming , Spider-Man: Homecoming, NBA Finals: Watch the Game , Captain America: Civil War , Avengers: Age of Ultron , The Judge , Chef , Iron Man Three , The Avengers , Sherlock Holmes: A Game of Shadows , Due Date , Love & Distrust , Iron Man 2 , Sherlock Holmes , The Soloist , Tropic Thunder: Rain of Madness , Tropic Thunder , The Incredible Hulk , Iron Man , Iron Man , Charlie Bartlett , Lucky You , Vanity Fair: Killers Kill, Dead Men Die , Zodiac , Fur: An Imaginary Portrait of Diane Arbus , A Scanner Darkly , The Shaggy Dog , A Guide to Recognizing Your Saints , Family Guy , Good Night, and Good Luck. , Kiss Kiss Bang Bang , Game 6 , The Route V50 , Eros , Gothika , Whatever We Do , The Singing Detective , Ally McBeal , Lethargy , Elton John: I Want Love , Bob Dylan: Things Have Changed , Auto Motives , Wonder Boys , Black and White , Bowfinger , Friends & Lovers , In Dreams , U.S. Marshals , The Gingerbread Man , Hugo Pool , Two Girls and a Guy , One Night Stand , Danger Zone , Restoration , Mr. Willowby's Christmas Tree , Home for the Holidays , Richard III , Only You , Natural Born Killers , Hail Caesar , Short Cuts , Heart and Souls , Chaplin , Soapdish , Too Much Sun , Air America , Chances Are , True Believer , That's Adequate , 1969 , Rented Lips , Johnny Be Good , Less Than Zero , The Pick-up Artist , America , Back to School , Saturday Night Live , Deadwait , Mussolini: The Untold Story , Weird Science , Girls Just Want to Have Fun , Tuff Turf , Firstborn , Baby It's You , Up the Academy , Greaser's Palace , Pound "
"Chris Hemsworth","August 11, 1983","Melbourne, Victoria, Australia","The Avengers : Thor , Thor: Ragnarok : Thor , Snow White and the Huntsman : The Huntsman , Thor : Thor ","Extraction 2 , Untitled Hulk Hogan Biopic , Thor: Love and Thunder , What If...? , Extraction , Jay and Silent Bob Reboot , Men in Black: International , Avengers: Endgame , Bad Times at the El Royale , Avengers: Infinity War , Tourism Australia: Dundee - The Son of a Legend Returns Home , 12 Strong , Thor: Ragnarok , Ghostbusters VR: Now Hiring , Team Thor: Part 2 , Doctor Strange , Team Thor , Ghostbusters , The Huntsman: Winter's War , In the Heart of the Sea , Vacation , Avengers: Age of Ultron , Blackhat , Thor: The Dark World , Rush , Star Trek Into Darkness , Red Dawn , Snow White and the Huntsman , The Avengers , The Cabin in the Woods , Thor: God of Thunder , Thor , Talk About It! , Ollie Klublershturf vs. the Nazis , Ca$h , A Perfect Getaway , Star Trek , Home and Away , Fergus McPhail , The Saddle Club , Marshall Law , Neighbours , Guinevere Jones "
